,Shop Order,Component,MRdate,MQISS,Product,BOM qty,BOM qty,MOPNO,Finished qty,MQREQ,Requested qty,Lot Number,SOSTS,Date
107,198823,WP8998,20210922,0.0,8989,5.0,5.0,888,0,14000.0,2800.0,21J12563,04,2021-09-22
108,198823,RM220,20210928,0.0,8989,0.0,0.0,50,0,0.0,2800.0,21J12563,04,2021-09-28
109,198823,RM160,20210928,0.0,8989,0.0,0.0,50,0,0.0,2800.0,21J12563,04,2021-09-28
110,198823,RM157,20210928,0.0,8989,0.0,0.0,50,0,0.0,2800.0,21J12563,04,2021-09-28
111,198823,RM093,20210928,0.0,8989,0.0,0.0,50,0,0.0,2800.0,21J12563,04,2021-09-28
112,198823,RM026,20210928,0.0,8989,0.0,0.0,50,0,0.0,2800.0,21J12563,04,2021-09-28
113,198823,FS10002898,20210923,0.0,8989,0.0,0.0,0,0,0.0,2800.0,21J12563,04,2021-09-23
114,198823,PT00062563,20210923,0.0,8989,1.54143,1.54143,0,0,4316.004,2800.0,21J12563,04,2021-09-23
115,198823,RM129,20210928,0.0,8989,308.36,308.36,50,0,863408.0,2800.0,21J12563,04,2021-09-28
116,198823,R1700,20210922,0.0,8989,1.0,1.0,888,0,2800.0,2800.0,21J12563,04,2021-09-22
117,198823,R1690,20210922,0.0,8989,1.0,1.0,888,0,2800.0,2800.0,21J12563,04,2021-09-22
118,198823,R5097,20210922,0.0,8989,1.0,1.0,888,0,2800.0,2800.0,21J12563,04,2021-09-22
119,198823,R4415,20210922,0.0,8989,1.0,1.0,888,0,2800.0,2800.0,21J12563,04,2021-09-22
120,198823,PT00013702,20210922,0.0,8989,0.0,0.0,0,0,0.0,2800.0,21J12563,04,2021-09-22
121,198823,FS10003226,20210922,0.0,8989,0.0,0.0,0,0,0.0,2800.0,21J12563,04,2021-09-22
122,198823,PT00006646,20210922,0.0,8989,5.0125,5.0125,0,0,14035.0,2800.0,21J12563,04,2021-09-22
123,198823,PT00012138,20210922,0.0,8989,1.0,1.0,0,0,2800.0,2800.0,21J12563,04,2021-09-22
124,198822,RM160,20210926,0.0,WP8935,0.0,0.0,25,0,0.0,19440.0,21J198822,04,2021-09-26
125,198822,RM157,20210926,0.0,WP8935,0.0,0.0,25,0,0.0,19440.0,21J198822,04,2021-09-26
126,198822,RM093,20210926,0.0,WP8935,0.0,0.0,25,0,0.0,19440.0,21J198822,04,2021-09-26
127,198822,FS10002871,20210926,0.0,WP8935,0.0,0.0,0,0,0.0,19440.0,21J198822,04,2021-09-26
128,198822,RM054,20210926,0.0,WP8935,0.0,0.0,25,0,0.0,19440.0,21J198822,04,2021-09-26
129,198822,PT00065936,20210926,0.0,WP8935,0.049002,0.049002,25,0,952.599,19440.0,21J198822,04,2021-09-26
130,198822,RM129,20210926,0.0,WP8935,9.898363,9.898363,25,0,192424.177,19440.0,21J198822,04,2021-09-26
131,198822,RM106,20210926,0.0,WP8935,0.0,0.0,40,0,0.0,19440.0,21J198822,04,2021-09-26
132,198822,RM004,20210926,0.0,WP8935,0.0,0.0,40,0,0.0,19440.0,21J198822,04,2021-09-26
133,198822,FS10002872,20210926,0.0,WP8935,0.0,0.0,0,0,0.0,19440.0,21J198822,04,2021-09-26
134,198822,RM171,20210926,0.0,WP8935,2.785916,2.785916,40,0,54158.207,19440.0,21J198822,04,2021-09-26
135,198822,RM160,20210926,0.0,WP8935,0.0,0.0,20,0,0.0,19440.0,21J198822,04,2021-09-26
136,198822,RM157,20210926,0.0,WP8935,0.0,0.0,20,0,0.0,19440.0,21J198822,04,2021-09-26
137,198822,RM093,20210926,0.0,WP8935,0.0,0.0,20,0,0.0,19440.0,21J198822,04,2021-09-26
138,198822,FS10002873,20210926,0.0,WP8935,0.0,0.0,0,0,0.0,19440.0,21J198822,04,2021-09-26
139,198822,RM054,20210926,0.0,WP8935,0.0,0.0,20,0,0.0,19440.0,21J198822,04,2021-09-26
140,198822,PT00065936,20210926,0.0,WP8935,0.004498,0.004498,20,0,87.441,19440.0,21J198822,04,2021-09-26
141,198822,RM129,20210926,0.0,WP8935,0.908622,0.908622,20,0,17663.612,19440.0,21J198822,04,2021-09-26
142,198822,FS10002982,20210927,0.0,WP8935,0.0,0.0,0,0,0.0,19440.0,21J198822,04,2021-09-27
143,198821,WP8935,20211011,0.0,8938,5.0,5.0,888,0,17080.0,3416.0,21J12463,04,2021-10-11
